title,price,rating,reviews,availability
Madden NFL 23 – PlayStation 4,$39.88,4.6 out of 5 stars,713 ratings,Not Available
PlayStation 4 Slim 1TB Console,,4.7 out of 5 stars,"15,171 ratings",
NBA 2K23 - PlayStation 4,$29.99,4.5 out of 5 stars,237 ratings,In Stock
FINAL FANTASY XIV: Heavensward - PlayStation 4,$26.78,4.4 out of 5 stars,257 ratings,Not Available
The Crew - PlayStation 4,$14.99,4.3 out of 5 stars,740 ratings,Not Available
"BlueFire Stereo Gaming Headset for PS4, PS5, PC, Xbox One, Noise Cancelling Over Ear Headphones with Mic, LED Light, Bass Surround, Soft Memory Earmuffs for Laptop Nintendo Switch Games (Blue)",,4.3 out of 5 stars,"1,480 ratings",Not Available
Marvel's Iron Man VR - PlayStation 4,$19.99,4.6 out of 5 stars,"2,471 ratings",Not Available
DualShock 4 Wireless Controller for PlayStation 4 - Jet Black,$58.75,4.7 out of 5 stars,"140,919 ratings",Not Available
DualShock 4 Wireless Controller for PlayStation 4 - Magma Red,$61.50,4.7 out of 5 stars,"140,919 ratings",Not Available
DualShock 4 Wireless Controller for PlayStation 4 - Midnight Blue,$63.00,4.7 out of 5 stars,"140,919 ratings",Not Available
"Wireless Play-station 4 Controller, Game Double Shock 4 Controller Compatible with Play-station 4/P-S4 Slim/ Pro Console, with Touch Panel, Dual Vibration, Audio Function (Green Camo)",$22.99,3.8 out of 5 stars,94 ratings,Not Available
Wo Long: Fallen Dynasty: Steelbook Launch Edition - PlayStation 4,$79.99,Previous page of related Sponsored Products,,"This item will be released on March 3, 2023."
"Sony PlayStation 4 Dualshock 4 Wireless Controller, Black (New)",,4.5 out of 5 stars,"1,586 ratings",Not Available
"2 Pack Wireless Controller for Playstation 4, Qyszy88 Wireless Controller for Sony PS4/Pro/Slim/, with Double Shock/Stereo Headset Jack/Touch Pad/Six-axis Motion Control，Great Gamepad Gift (Blue+Purple)",,4.3 out of 5 stars,241 ratings,Not Available
"PS4 Stand Cooling Fan Station for Playstation 4/PS4 Slim/PS4 Pro, PS4 Vertical Stand with Dual Controller Port Charger Dock Station, 12 Game Slots, USB Fast Charging Station with LED Indicator",$29.99,3.7 out of 5 stars,7 ratings,Not Available
"GSRMQYQ Wireless Controller Compatible with PS4/PS4 Slim/PS4 Pro,with Dual Vibration Game Joystick",,Previous page of related Sponsored Products,,Not Available
Sonic Colors Ultimate: Standard Edition - PlayStation 4,$15.00,4.6 out of 5 stars,212 ratings,In Stock
"Wiv77 2 Pack Controller Wireless Intended for PS4 Controller/Playstation 4 Controller Console/PC, Bluetooth&Wired Connection/Smooth Touchpad/Two Motors/Headphone Jack(Titanium Blue and Craystal Blue)",,3.8 out of 5 stars,12 ratings,Not Available
TIANHOO Wireless Controller Compatible with PS4/Slim/Pro with Dual Vibration/6-Axis Motion Sensor/Audio Function,,4.3 out of 5 stars,392 ratings,Not Available
NBA 2K23 Michael Jordan Edition - PlayStation 4,$49.99,4.7 out of 5 stars,89 ratings,In Stock
"navor Compatible with Playstation 4, PS4 Dock Station with 4 Micro USB Dongles, LED Light Indicator",,1.0 out of 5 stars,1 rating,Not Available
NHL 23 - PlayStation 4,$59.99,4.3 out of 5 stars,31 ratings,Not Available
One Piece Odyssey - PlayStation 4,$59.99,Previous page of related Sponsored Products,,"This item will be released on January 13, 2023."
Wireless Game Controller Compatible with PS4 Console (gold),$49.99,Previous page of related Sponsored Products,,Not Available
"PS4 Controller for PC Gamer/Pro/Slim, Remote Analog Sticks PC Wireless Controller Dual Vibration Shock 4, Dualsensed Design Gamepad PS4 Bluetooth Controller, Black",,4.0 out of 5 stars,5 ratings,Not Available
